
	SYMBOL		FREQUENCY	ENCODING
	------		---------	--------
	 SPACE		   240		110
	   e		   146		001
	   t		   103		1011
	   o		   97		1010
	   s		   87		1000
	   a		   82		0101
	   h		   79		0100
	   r		   71		0000
	   n		   67		11110
	   i		   56		11100
	   l		   44		01111
	   d		   42		01101
	   u		   41		01100
	 BREAK		   36		00010
	   f		   34		111111
	   m		   31		111011
	   w		   24		100110
	   p		   24		100101
	   c		   23		100100
	   ,		   20		011100
	   T		   18		000110
	   y		   18		1111101
	   b		   15		1110101
	   g		   14		1110100
	   '		   11		0111010
	   k		   10		0001111
	   v		   8		11111001
	   A		   6		10011110
	   :		   6		01110111
	   ;		   6		01110110
	   W		   5		00011101
	   ?		   3		100111001
	   N		   3		100111000
	   -		   3		100111011
	   .		   3		100111010
	   M		   2		1111100001
	   q		   2		1111100000
	   O		   2		1111100011
	   F		   2		1111100010
	   B		   2		1001111101
	   z		   2		1001111100
	   !		   2		1001111111
	   H		   1		0001110001
	   L		   1		0001110000
	   E		   1		0001110011
	   D		   1		0001110010
	   I		   1		10011111101
	   S		   1		10011111100
